127.0.0.1 - - [15/Apr/2019:13:11:41 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:11:42 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:11:42 -0400] "GET /jmf194_Music/script/jquery-3.4.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:11:42 -0400] "GET /jmf194_Music/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:11:55 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:11:55 -0400] "GET /jmf194_Music/script/jquery-3.4.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:11:55 -0400] "GET /jmf194_Music/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:12:34 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:12:38 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:12:38 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:12:54 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:12:58 -0400] "GET /jmf194_Music/album.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:12:58 -0400] "GET /jmf194_Music/script/jquery-3.4.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:12 -0400] "GET /jmf194_Music/AlbumListWS?title=lit&searchType=ends HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:12 -0400] "GET /jmf194_Music/AlbumListWS?title=lit&searchType=ends HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:19 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:19 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:19 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%202&searchType=ends HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:20 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%202&searchType=ends HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:24 -0400] "GET /jmf194_Music/AlbumListWS?title=lit&searchType=ends HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:13:26 -0400] "GET /jmf194_Music/AlbumListWS?title=lit&searchType=ends HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:16:06 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:16:11 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:16:11 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:16:22 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:17:07 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:17:07 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:17:08 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:17:08 -0400] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:18:08 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:18:13 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nas&searchType=ends HTTP/1.1" 500 3455
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:18:13 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nast&searchType=ends HTTP/1.1" 500 3457
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:18:13 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nas&searchType=ends HTTP/1.1" 500 3455
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:18:13 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nasty&searchType=ends HTTP/1.1" 500 3459
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:18:34 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nasty&searchType=ends HTTP/1.1" 500 3459
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:19:07 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:19:19 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nast&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:19:19 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nas&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:19:19 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nas&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:19:19 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nasty&searchType=ends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:19:19 -0400] "GET /jmf194_Music/ArtistListWS?bandName=nasty&searchType=ends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:20:13 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:20:18 -0400] "GET /jmf194_Music/ArtistListWS?bandName=ast&searchType=ends HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:20:18 -0400] "GET /jmf194_Music/ArtistListWS?bandName=asty&searchType=ends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:20:44 -0400] "GET /jmf194_Music/artist.html HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:20:52 -0400] "GET /jmf194_Music/ArtistListWS?bandName=pla&searchType=begins HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:20:52 -0400] "GET /jmf194_Music/ArtistListWS?bandName=play&searchType=begins HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:21:01 -0400] "GET /jmf194_Music/ArtistListWS?bandName=you&searchType=begins HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:21:11 -0400] "GET /jmf194_Music/ArtistListWS?bandName=jor&searchType=begins HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:52:53 -0400] "GET /jmf194_Music/ArtistListWS?bandName=lil&searchType=begins HTTP/1.1" 200 2412
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:07 -0400] "GET /jmf194_Music/AlbumListWS?title=oun&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:07 -0400] "GET /jmf194_Music/AlbumListWS?title=ound&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:09 -0400] "GET /jmf194_Music/AlbumListWS?title=oun&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:13 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:13 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:13 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%20&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:13 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%202&searchType=ends HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:15 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%20&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:16 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:16 -0400] "GET /jmf194_Music/AlbumListWS?title=rag&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:19 -0400] "GET /jmf194_Music/SongListWS?title=trus&searchType=begins HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [15/Apr/2019:13:53:19 -0400] "GET /jmf194_Music/SongListWS?title=tru&searchType=begins HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:37:14 -0400] "GET /jmf194_Music/song.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:37:14 -0400] "GET /jmf194_Music/script/jquery-3.4.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:37:19 -0400] "GET /jmf194_Music/SongListWS?title=tru&searchType=begins HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:32 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:32 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%202&searchType=ends HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:33 -0400] "GET /jmf194_Music/AlbumListWS?title=rage&searchType=ends HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:33 -0400] "GET /jmf194_Music/AlbumListWS?title=rage%202&searchType=ends HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:38 -0400] "GET /jmf194_Music/SongListWS?title=tru&searchType=begins HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:43 -0400] "GET /jmf194_Music/album.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:48 -0400] "GET /jmf194_Music/AlbumListWS?title=nas&searchType= HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:49 -0400] "GET /jmf194_Music/AlbumListWS?title=nas&searchType= HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:52 -0400] "GET /jmf194_Music/AlbumListWS?title=los&searchType= HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:53 -0400] "GET /jmf194_Music/AlbumListWS?title=lost&searchType= HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:40:55 -0400] "GET /jmf194_Music/AlbumListWS?title=lost%20&searchType= HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:01 -0400] "GET /jmf194_Music/AlbumListWS?title=lost%20&searchType=begins HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:18 -0400] "GET /jmf194_Music/AlbumListWS?title=&%20fo&searchType=contains HTTP/1.1" 200 75049
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:18 -0400] "GET /jmf194_Music/AlbumListWS?title=&%20fou&searchType=contains HTTP/1.1" 200 75049
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:18 -0400] "GET /jmf194_Music/AlbumListWS?title=&%20foun&searchType=contains HTTP/1.1" 200 75049
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:18 -0400] "GET /jmf194_Music/AlbumListWS?title=&%20f&searchType=contains HTTP/1.1" 200 75049
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:19 -0400] "GET /jmf194_Music/AlbumListWS?title=is%20&searchType=contains HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:24 -0400] "GET /jmf194_Music/AlbumListWS?title=is%20&searchType=contains HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:41:25 -0400] "GET /jmf194_Music/AlbumListWS?title=&%20foun&searchType=contains HTTP/1.1" 200 75049
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:46:54 -0400] "GET /jmf194_Music/album.html HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:46:58 -0400] "GET /jmf194_Music/AlbumListWS?title=nas&searchType= HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [15/Apr/2019:15:46:59 -0400] "GET /jmf194_Music/AlbumListWS?title=nas&searchType= HTTP/1.1" 200 235
